variant,psi_scale,ld_scale,lq_scale,vdc_scale,imax_scale,psi_f_wb,ld_h,lq_h,saliency_ratio,vdc_v,imax_a,score,low_peak_id_a,low_peak_iq_a,low_peak_torque_nm,low_peak_current_a,low_peak_voltage_v,low_peak_voltage_margin_v,low_peak_current_margin_a,low_peak_copper_loss_w,low_peak_feasible,high_target_id_a,high_target_iq_a,high_target_torque_nm,high_target_current_a,high_target_voltage_v,high_target_voltage_margin_v,high_target_current_margin_a,high_target_copper_loss_w,high_target_feasible,high_max_id_a,high_max_iq_a,high_max_torque_nm,high_max_current_a,high_max_voltage_v,high_max_voltage_margin_v,high_max_current_margin_a,high_max_copper_loss_w,high_max_feasible
psi1.00_ld1.00_lq1.00_vdc1.15_imax1.15,1.0,1.0,1.0,1.15,1.15,0.055,0.00018,0.00042,2.3333333333333335,413.99999999999994,299.0,1.0854908893025925,-115.0,202.0,100.1112,232.44139046219803,44.99750537254287,194.0255060719622,66.55860953780197,2836.5225000000005,True,-197.0,98.0,60.140640000000005,220.0295434708712,236.72275055520248,2.300260889302592,78.9704565291288,2541.6825,True,-279.0,106.0,77.56656000000001,298.45770219580527,235.18822927066824,3.834782173836828,0.5422978041947317,4676.5425,True
psi0.85_ld0.80_lq1.30_vdc1.15_imax1.15,0.85,0.8,1.3,1.15,1.15,0.04675,0.000144,0.000546,3.791666666666667,413.99999999999994,299.0,0.3140974923210731,-125.0,172.0,100.10400000000001,212.6240814207083,47.29767106112599,191.7253403833791,86.37591857929169,2373.4725,True,-205.0,78.0,60.44687999999999,219.33763926877666,238.601775952184,0.42123549232107393,79.66236073122334,2525.7224999999994,True,-287.0,82.0,79.765008,298.4845054605012,237.0157405941047,2.0072708504003742,0.5154945394987749,4677.3825,True
psi0.85_ld0.80_lq1.60_vdc1.15_imax1.15,0.85,0.8,1.6,1.15,1.15,0.04675,0.000144,0.0006720000000000001,4.666666666666667,413.99999999999994,299.0,0.27567499119484573,-117.0,154.0,100.27802400000002,193.40372281835735,50.71377816430766,188.30923328019742,105.59627718164265,1963.7625,True,-211.0,64.0,60.73267200000001,220.49263026232873,239.00442845331023,0.01858299119484741,78.50736973767127,2552.3925000000004,True,-291.0,66.0,79.357608,298.390683500675,234.6429245322385,4.380086912266563,0.6093164993250184,4674.442499999999,True
psi0.70_ld0.80_lq1.30_vdc1.15_imax1.15,0.7,0.8,1.3,1.15,1.15,0.0385,0.000144,0.000546,3.791666666666667,413.99999999999994,299.0,0.18892614704300392,-135.0,180.0,100.1916,225.0,48.06394762128762,190.95906382321746,74.0,2657.8124999999995,True,-209.0,82.0,60.27885600000001,224.51057881534223,236.70243729746207,2.320574147043004,74.48942118465777,2646.2624999999994,True,-287.0,82.0,75.706008,298.4845054605012,235.36720259329215,3.6558088512129245,0.5154945394987749,4677.3825,True
psi1.00_ld1.00_lq1.60_vdc1.15_imax1.15,1.0,1.0,1.6,1.15,1.15,0.055,0.00018,0.0006720000000000001,3.7333333333333334,413.99999999999994,299.0,-0.14518985623996095,-103.0,158.0,100.180848,188.60805921274945,52.38715082518549,186.63586061931957,110.39194078725055,1867.5825000000004,True,-215.0,64.0,61.73952,224.32342722060932,239.01835930074503,0.004652143760040417,74.67657277939068,2641.8525,True,-291.0,66.0,78.476112,298.390683500675,233.63583127892608,5.387180165578997,0.6093164993250184,4674.442499999999,True
psi1.00_ld0.80_lq1.30_vdc1.15_imax1.15,1.0,0.8,1.3,1.15,1.15,0.055,0.000144,0.000546,3.791666666666667,413.99999999999994,299.0,-0.2971467580596414,-113.0,166.0,100.02429599999999,200.81085628023203,47.35772593978083,191.66528550472424,98.18914371976797,2117.0625000000005,True,-217.0,72.0,61.445088,228.63289352147035,238.6811262025647,0.34188524194036063,70.36710647852965,2744.3325000000004,True,-287.0,78.0,79.735032,297.4104907362886,235.2304087271654,3.792602717339662,1.5895092637114203,4643.782499999999,True
psi1.00_ld1.00_lq1.30_vdc1.15_imax1.15,1.0,1.0,1.3,1.15,1.15,0.055,0.00018,0.000546,3.033333333333333,413.99999999999994,299.0,-0.4768661993392378,-115.0,172.0,100.19688000000001,206.90335908341362,47.916403622544706,191.10660782196038,92.09664091658638,2247.4725,True,-209.0,78.0,61.539192,223.0807028857494,239.0147736438443,0.008237800660765515,75.91929711425061,2612.6625,True,-287.0,82.0,78.740664,298.4845054605012,235.9141212450562,3.108890199448865,0.5154945394987749,4677.3825,True
psi1.00_ld1.00_lq1.00_vdc1.15_imax1.00,1.0,1.0,1.0,1.15,1.0,0.055,0.00018,0.00042,2.3333333333333335,413.99999999999994,260.0,-0.5576609555185517,-122.0,198.0,100.12464000000001,232.568269546815,44.27758178522463,194.74542965928043,27.431730453184997,2839.6200000000003,True,-198.0,98.0,60.28175999999999,220.92532675091826,236.36731240002362,2.6556990444814517,39.07467324908174,2562.42,True,-238.0,104.0,69.96288,259.7306296916095,236.9132878982509,2.1097235462541732,0.26937030839047793,3541.6500000000005,True
psi1.00_ld1.20_lq1.00_vdc1.15_imax1.00,1.0,1.2,1.0,1.15,1.0,0.055,0.00021600000000000002,0.00042,1.9444444444444444,413.99999999999994,260.0,-0.5586645560573054,-116.0,212.0,100.060608,241.66091947189145,45.92296120728472,193.10005023722036,18.339080528108553,3066.0,True,-202.0,104.0,60.033792000000005,227.2003521124032,234.63890400056238,4.384107443942696,32.79964788759679,2710.0499999999997,True,-236.0,108.0,66.837312,259.53805116013336,237.48076454228163,1.5422469022234395,0.46194883986663626,3536.399999999999,True
psi0.85_ld1.00_lq1.30_vdc1.15_imax1.15,0.85,1.0,1.3,1.15,1.15,0.04675,0.00018,0.000546,3.033333333333333,413.99999999999994,299.0,-0.663126244653208,-123.0,182.0,100.21065600000001,219.66565503054863,48.864372267456396,190.15863917704868,79.33434496945137,2533.2825,True,-207.0,82.0,60.275904000000004,222.64994947226015,237.73482368915828,1.2881877553467973,76.35005052773985,2602.5824999999995,True,-287.0,82.0,74.68166399999998,298.4845054605012,236.10315690651612,2.919854537988954,0.5154945394987749,4677.3825,True
