speed_rpm,omega_e_rad_s,freq_hz,target_torque_nm,baseline_iron_loss_w,min_current_target_feasible,min_current_target_id_a,min_current_target_iq_a,min_current_target_torque_nm,min_current_target_current_a,min_current_target_voltage_v,min_current_target_copper_loss_w,min_current_target_iron_loss_w,min_current_target_total_loss_w,min_current_target_efficiency_pct,min_current_target_lambda_d_wb,min_current_target_lambda_q_wb,min_current_target_b_peak_t,max_feasible_torque_feasible,max_feasible_torque_id_a,max_feasible_torque_iq_a,max_feasible_torque_torque_nm,max_feasible_torque_current_a,max_feasible_torque_voltage_v,max_feasible_torque_copper_loss_w,max_feasible_torque_iron_loss_w,max_feasible_torque_total_loss_w,max_feasible_torque_efficiency_pct,max_feasible_torque_lambda_d_wb,max_feasible_torque_lambda_q_wb,max_feasible_torque_b_peak_t
5250.0,2199.114857512855,349.9999999999769,100.0,38518.80092454657,True,-122.0,198.0,100.12464000000001,232.568269546815,203.36885298721282,2839.6200000000003,101959.93073534365,104799.55073534364,34.43715466695067,0.03304,0.08316,8.056310508400307,True,-158.0,206.0,114.84912,259.61509971494337,206.50039951382985,3538.4999999999995,104301.83308439478,107840.33308439478,36.928814543700724,0.026559999999999997,0.08652,8.14830733570954
5500.0,2303.8346126325146,366.66666666664247,100.0,42186.76610641919,True,-134.0,192.0,100.40832000000002,234.13671220037236,205.77133470447046,2878.0499999999997,103987.0174570732,106865.06745707321,35.113787072176,0.030879999999999998,0.08064,7.774263451011624,True,-168.0,198.0,113.24016,259.6690201005888,207.57097319298592,3539.9699999999993,104994.74703374656,108534.71703374656,37.53626479221406,0.024759999999999997,0.08316,7.8118424983853165
5750.0,2408.554367752175,383.33333333330813,100.0,46020.59738074369,True,-146.0,186.0,100.48464000000001,236.4571842850202,207.55690708192185,2935.3799999999997,105392.07889407978,108327.45889407978,35.837561373313605,0.02872,0.07812000000000001,7.493516535589264,True,-178.0,188.0,110.22816,258.897663179875,205.92682707473026,3518.9700000000003,102870.76477980812,106389.73477980812,38.41845386999119,0.02296,0.07896,7.4033395525414205
6000.0,2513.2741228718346,399.9999999999737,100.0,50020.241940536274,True,-162.0,178.0,100.26384000000002,240.68236329236922,206.23285094764125,3041.2200000000003,103459.4410012046,106500.6610012046,37.167117596831346,0.02584,0.07476000000000001,7.121475426868998,True,-184.0,182.0,108.28272,258.80494585691366,207.8197822064979,3516.4500000000003,104534.99691293148,108051.44691293148,38.637634567866385,0.021879999999999997,0.07644000000000001,7.158396855830309
6250.0,2617.993877991494,416.66666666663923,100.0,54185.65031717961,True,-176.0,172.0,100.35168000000002,246.0894146443524,206.4809791386177,3179.3999999999996,103220.35002106725,106399.75002106724,38.16835679910448,0.02332,0.07224,6.834367514074002,True,-192.0,174.0,105.52752000000001,259.1138745802702,206.8173127923845,3524.85,103149.41607883392,106674.26607883393,39.300595664136694,0.02044,0.07308,6.8320187914299675
6500.0,2722.713633111154,433.33333333330484,100.0,58516.776042789694,True,-190.0,166.0,100.1976,252.30140705116966,206.16135403983577,3341.9399999999996,102399.87791444178,105741.81791444178,39.209331643711025,0.0208,0.06972,6.550392659500182,True,-198.0,168.0,103.34016,259.6690201005888,207.48921357242037,3539.9699999999993,103560.63409397643,107100.60409397644,39.64191555831494,0.019359999999999995,0.07056,6.587414104369903
6750.0,2827.4333882308138,449.9999999999703,100.0,63013.575358544374,True,-202.0,162.0,100.58256,258.93628559937287,207.81525482375716,3520.0200000000004,103673.29212643851,107193.31212643851,39.87730638752906,0.018639999999999997,0.06804,6.351469167007385,True,-202.0,162.0,100.58256,258.93628559937287,207.81525482375716,3520.0200000000004,103673.29212643851,107193.31212643851,39.87730638752906,0.018639999999999997,0.06804,6.351469167007385
7000.0,2932.1531433504733,466.6666666666359,100.0,67676.0069612288,False,,,,,,,,,,,,,True,-208.0,156.0,98.20512,260.0,207.3677411991859,3548.9999999999995,102939.6586625366,106488.6586625366,40.334723799165495,0.01756,0.06552000000000001,6.107054687054772
7250.0,3036.8728984701334,483.3333333333015,100.0,72504.03178178919,False,,,,,,,,,,,,,True,-212.0,150.0,95.292,259.6998267230843,206.5882745442425,3540.810000000001,101927.14099080303,105467.95099080303,40.686821061648196,0.01684,0.063,5.871129407753193
7500.0,3141.5926535897934,499.9999999999671,100.0,77497.61279087845,False,,,,,,,,,,,,,True,-216.0,144.0,92.30976,259.59969183340723,205.2605265412349,3538.0800000000004,100367.34534449922,103905.42534449922,41.09848116184127,0.016119999999999995,0.060480000000000006,5.635206907104959
7750.0,3246.312408709453,516.6666666666326,100.0,82656.71482730428,False,,,,,,,,,,,,,True,-218.0,140.0,90.1488,259.0829982843336,206.27751526966188,3524.0099999999998,101259.73836866286,104783.74836866285,41.11504042661816,0.015759999999999996,0.058800000000000005,5.480714008919334
8000.0,3351.0321638291125,533.3333333332981,100.0,87981.30444602449,False,,,,,,,,,,,,,True,-220.0,136.0,87.9648,258.6426105652354,206.93546682922994,3512.04,101792.31586220113,105304.35586220112,41.16995371308955,0.015399999999999997,0.057120000000000004,5.326232367321555
8250.0,3455.7519189487725,549.9999999999637,100.0,93471.34978291503,False,,,,,,,,,,,,,True,-224.0,132.0,86.13792000000001,260.0,206.96558655837333,3548.9999999999995,101631.81576383031,105180.81576383031,41.43562673806664,0.014679999999999999,0.05544,5.163371765296275
8500.0,3560.471674068432,566.6666666666293,100.0,99126.82043400354,False,,,,,,,,,,,,,True,-226.0,128.0,83.89632,259.7306296916095,206.89445636063962,3541.6500000000005,101427.21805200924,104968.86805200923,41.56920599070874,0.01432,0.05376,5.008866758936377
8750.0,3665.1914291880917,583.3333333332948,100.0,104947.68734723813,False,,,,,,,,,,,,,True,-228.0,124.0,81.63168,259.53805116013336,206.4642446139714,3536.399999999999,100861.07644211224,104397.47644211224,41.74131251155766,0.01396,0.05208,4.854373332609964
9000.0,3769.911184307752,599.9999999999606,100.0,110933.92272516593,False,,,,,,,,,,,,,True,-230.0,120.0,79.344,259.42243542145695,205.67500339760585,3533.249999999999,99936.61206505922,103469.86206505922,41.95233303402202,0.013600000000000001,0.0504,4.699892628283085
9250.0,3874.6309394274117,616.666666666626,100.0,117085.4999371465,False,,,,,,,,,,,,,True,-232.0,116.0,77.03327999999999,259.3838853899756,204.5267940226391,3532.2,98658.9903695175,102191.1903695175,42.202845854154766,0.013239999999999995,0.04872,4.545425943064362
9500.0,3979.3506945470713,633.3333333332916,100.0,123402.39343993294,False,,,,,,,,,,,,,True,-232.0,114.0,75.70512000000001,258.49564793241683,206.5782680078211,3508.0499999999997,100671.55018575839,104179.60018575839,41.95925493453244,0.013239999999999995,0.04788,4.472490191587314
9750.0,4084.0704496667313,649.9999999999573,100.0,129884.57870562069,False,,,,,,,,,,,,,True,-234.0,110.0,73.3656,258.5652722234755,204.8079958495549,3509.9399999999987,98769.57501687504,102279.51501687504,42.27597617849422,0.012879999999999996,0.046200000000000005,4.318079241340124
