speed_rpm,omega_e_rad_s,target_torque_nm,vmax_v,imax_a,id_zero_id_a,id_zero_iq_a,id_zero_torque_nm,id_zero_current_a,id_zero_voltage_v,id_zero_voltage_margin_v,id_zero_current_margin_a,id_zero_copper_loss_w,id_zero_feasible,min_current_target_id_a,min_current_target_iq_a,min_current_target_torque_nm,min_current_target_current_a,min_current_target_voltage_v,min_current_target_voltage_margin_v,min_current_target_current_margin_a,min_current_target_copper_loss_w,min_current_target_feasible,max_feasible_torque_id_a,max_feasible_torque_iq_a,max_feasible_torque_torque_nm,max_feasible_torque_current_a,max_feasible_torque_voltage_v,max_feasible_torque_voltage_margin_v,max_feasible_torque_current_margin_a,max_feasible_torque_copper_loss_w,max_feasible_torque_feasible
7500.0,3141.5926535897934,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-216.0,144.0,92.30976,259.59969183340723,205.2605265412349,2.5855703670304138,0.40030816659276525,3538.0800000000004,True
7750.0,3246.312408709453,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-218.0,140.0,90.1488,259.0829982843336,206.27751526966188,1.5685816386034332,0.9170017156664017,3524.0099999999998,True
8000.0,3351.0321638291125,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-220.0,136.0,87.9648,258.6426105652354,206.93546682922994,0.9106300790353714,1.3573894347646274,3512.04,True
8250.0,3455.7519189487725,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-224.0,132.0,86.13792000000001,260.0,206.96558655837333,0.8805103498919777,0.0,3548.9999999999995,True
8500.0,3560.471674068432,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-226.0,128.0,83.89632,259.7306296916095,206.89445636063962,0.9516405476256864,0.26937030839047793,3541.6500000000005,True
8750.0,3665.1914291880917,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-228.0,124.0,81.63168,259.53805116013336,206.4642446139714,1.3818522942939069,0.46194883986663626,3536.399999999999,True
9000.0,3769.911184307752,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-230.0,120.0,79.344,259.42243542145695,205.67500339760585,2.1710935106594604,0.577564578543047,3533.249999999999,True
9250.0,3874.6309394274117,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-232.0,116.0,77.03327999999999,259.3838853899756,204.5267940226391,3.3193028856262004,0.6161146100243968,3532.2,True
9500.0,3979.3506945470713,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-232.0,114.0,75.70512000000001,258.49564793241683,206.5782680078211,1.267828900444215,1.50435206758317,3508.0499999999997,True
9750.0,4084.0704496667313,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-234.0,110.0,73.3656,258.5652722234755,204.8079958495549,3.038101058710396,1.4347277765244826,3509.9399999999987,True
10000.0,4188.790204786391,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-236.0,108.0,72.34272000000001,259.53805116013336,206.08135292454148,1.7647439837238323,0.46194883986663626,3536.399999999999,True
10250.0,4293.50995990605,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-236.0,106.0,71.00304,258.7121953059036,207.52198395112217,0.3241129571431429,1.287804694096394,3513.9300000000007,True
10500.0,4398.22971502571,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-238.0,102.0,68.61744000000002,258.93628559937287,204.8550965045013,2.991000403764019,1.0637144006271342,3520.0200000000004,True
10750.0,4502.94947014537,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-240.0,100.0,67.56,260.0,205.48280530351119,2.3632916047541244,0.0,3548.9999999999995,True
11000.0,4607.669225265029,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-240.0,98.0,66.2088,259.2373429890069,206.3137406230294,1.5323562852359203,0.7626570109931095,3528.209999999999,True
11250.0,4712.38898038469,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-240.0,96.0,64.85759999999999,258.48791074245617,206.98060240433492,0.8654945039303925,1.5120892575438347,3507.8399999999992,True
11500.0,4817.10873550435,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-242.0,94.0,63.77712,259.61509971494337,207.05530490500774,0.7907920032575646,0.38490028505663076,3538.4999999999995,True
11750.0,4921.82849062401,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-242.0,92.0,62.420159999999996,258.897663179875,207.37626726320968,0.46982964505562563,1.1023368201250037,3518.9700000000003,True
12000.0,5026.548245743669,100.0,207.8460969082653,260.0,,,,,,,,,False,,,,,,,,,False,-242.0,90.0,61.063199999999995,258.1937257177254,207.53460525083045,0.31149165743485696,1.8062742822746145,3499.86,True
